日期,时间,时间戳,币种,基准价格(00:00),当前价格,涨跌幅(%)
2026-01-03,00:00:00,1767398400,AAVE,0.00000000,0.00000000,0.0000
2026-01-03,00:00:00,1767398400,APT,0.00000000,0.00000000,0.0000
2026-01-03,00:00:00,1767398400,BCH,0.00000000,0.00000000,0.0000
2026-01-03,00:00:00,1767398400,BNB,0.00000000,0.00000000,0.0000
2026-01-03,00:00:00,1767398400,BTC,0.00000000,0.00000000,0.0000
2026-01-03,00:00:00,1767398400,CFX,0.00000000,0.00000000,0.0000
2026-01-03,00:00:00,1767398400,CRO,0.00000000,0.00000000,0.0000
2026-01-03,00:00:00,1767398400,CRV,0.00000000,0.00000000,0.0000
2026-01-03,00:00:00,1767398400,DOGE,0.00000000,0.00000000,0.0000
2026-01-03,00:00:00,1767398400,DOT,0.00000000,0.00000000,0.0000
2026-01-03,00:00:00,1767398400,ETC,0.00000000,0.00000000,0.0000
2026-01-03,00:00:00,1767398400,ETH,0.00000000,0.00000000,0.0000
2026-01-03,00:00:00,1767398400,FIL,0.00000000,0.00000000,0.0000
2026-01-03,00:00:00,1767398400,HBAR,0.00000000,0.00000000,0.0000
2026-01-03,00:00:00,1767398400,LDO,0.00000000,0.00000000,0.0000
2026-01-03,00:00:00,1767398400,LINK,0.00000000,0.00000000,0.0000
2026-01-03,00:00:00,1767398400,LTC,0.00000000,0.00000000,0.0000
2026-01-03,00:00:00,1767398400,NEAR,0.00000000,0.00000000,0.0000
2026-01-03,00:00:00,1767398400,SOL,0.00000000,0.00000000,0.0000
2026-01-03,00:00:00,1767398400,STX,0.00000000,0.00000000,0.0000
2026-01-03,00:00:00,1767398400,SUI,0.00000000,0.00000000,0.0000
2026-01-03,00:00:00,1767398400,TAO,0.00000000,0.00000000,0.0000
2026-01-03,00:00:00,1767398400,TON,0.00000000,0.00000000,0.0000
2026-01-03,00:00:00,1767398400,TRX,0.00000000,0.00000000,0.0000
2026-01-03,00:00:00,1767398400,UNI,0.00000000,0.00000000,0.0000
2026-01-03,00:00:00,1767398400,XLM,0.00000000,0.00000000,0.0000
2026-01-03,00:00:00,1767398400,XRP,0.00000000,0.00000000,0.0000
2026-01-03,00:30:00,1767400200,AAVE,0.00000000,0.00000000,0.0000
2026-01-03,00:30:00,1767400200,APT,0.00000000,0.00000000,0.0000
2026-01-03,00:30:00,1767400200,BCH,0.00000000,0.00000000,0.0000
2026-01-03,00:30:00,1767400200,BNB,0.00000000,0.00000000,0.0000
2026-01-03,00:30:00,1767400200,BTC,0.00000000,0.00000000,0.0000
2026-01-03,00:30:00,1767400200,CFX,0.00000000,0.00000000,0.0000
2026-01-03,00:30:00,1767400200,CRO,0.00000000,0.00000000,0.0000
2026-01-03,00:30:00,1767400200,CRV,0.00000000,0.00000000,0.0000
2026-01-03,00:30:00,1767400200,DOGE,0.00000000,0.00000000,0.0000
2026-01-03,00:30:00,1767400200,DOT,0.00000000,0.00000000,0.0000
2026-01-03,00:30:00,1767400200,ETC,0.00000000,0.00000000,0.0000
2026-01-03,00:30:00,1767400200,ETH,0.00000000,0.00000000,0.0000
2026-01-03,00:30:00,1767400200,FIL,0.00000000,0.00000000,0.0000
2026-01-03,00:30:00,1767400200,HBAR,0.00000000,0.00000000,0.0000
2026-01-03,00:30:00,1767400200,LDO,0.00000000,0.00000000,0.0000
2026-01-03,00:30:00,1767400200,LINK,0.00000000,0.00000000,0.0000
2026-01-03,00:30:00,1767400200,LTC,0.00000000,0.00000000,0.0000
2026-01-03,00:30:00,1767400200,NEAR,0.00000000,0.00000000,0.0000
2026-01-03,00:30:00,1767400200,SOL,0.00000000,0.00000000,0.0000
