日期,时间,时间戳,27币涨跌幅总和(%)
2026-01-03,00:00,1767369240,0.0000
2026-01-03,00:30,1767371040,0.0000
2026-01-03,01:00,1767372840,0.0000
2026-01-03,01:30,1767374640,0.0000
2026-01-03,02:00,1767376440,0.0000
2026-01-03,02:30,1767378240,0.0000
2026-01-03,03:00,1767380040,0.0000
2026-01-03,03:30,1767381840,0.0000
2026-01-03,04:00,1767383640,0.0000
2026-01-03,04:30,1767385440,0.0000
2026-01-03,05:00,1767387240,0.0000
2026-01-03,05:30,1767389040,0.0000
2026-01-03,06:00,1767390840,0.0000
2026-01-03,06:30,1767392640,0.0000
2026-01-03,07:00,1767394440,0.0000
2026-01-03,07:30,1767396240,0.0000
2026-01-03,08:00,1767398040,0.0000
2026-01-03,08:30,1767399840,0.0000
2026-01-03,09:00,1767401640,0.0000
2026-01-03,09:30,1767403440,0.0000
2026-01-03,10:00,1767405240,0.0000
2026-01-03,10:30,1767407040,0.0000
2026-01-03,11:00,1767408840,0.0000
2026-01-03,11:30,1767410640,0.0000
2026-01-03,12:00,1767412440,0.0000
2026-01-03,12:30,1767414240,0.0000
2026-01-03,13:00,1767416040,0.0000
2026-01-03,13:30,1767417840,0.0000
2026-01-03,14:00,1767419640,0.0000
2026-01-03,14:30,1767421440,0.0000
2026-01-03,15:00,1767423240,0.0000
2026-01-03,15:30,1767425040,0.0000
2026-01-03,16:00,1767426840,0.0000
2026-01-03,16:30,1767428640,0.0000
2026-01-03,17:00,1767430440,0.0000
2026-01-03,17:30,1767432240,0.0000
2026-01-03,18:00,1767434040,0.0000
2026-01-03,18:30,1767435840,0.0000
2026-01-03,19:00,1767437640,0.0000
2026-01-03,19:30,1767439440,0.0000
2026-01-03,20:00,1767441240,0.0000
2026-01-03,20:30,1767443040,0.0000
2026-01-03,21:00,1767444840,0.0000
2026-01-03,21:30,1767446640,0.0000
2026-01-03,22:00,1767448440,0.0000
2026-01-03,22:30,1767450240,0.0000
2026-01-03,23:00,1767452040,0.0000
2026-01-03,23:30,1767453840,0.0000
2026-01-04,00:00,1767455640,0.0000
2026-01-04,00:30,1767457440,0.0000
2026-01-04,01:00,1767459240,0.0000
2026-01-04,01:30,1767461040,0.0000
2026-01-04,02:00,1767462840,0.0000
