日期,时间,币种,原因
2026-01-09,00:00,AAVE,整个时间点缺失
2026-01-09,00:00,APT,整个时间点缺失
2026-01-09,00:00,BCH,整个时间点缺失
2026-01-09,00:00,BNB,整个时间点缺失
2026-01-09,00:00,BTC,整个时间点缺失
2026-01-09,00:00,CFX,整个时间点缺失
2026-01-09,00:00,CRO,整个时间点缺失
2026-01-09,00:00,CRV,整个时间点缺失
2026-01-09,00:00,DOGE,整个时间点缺失
2026-01-09,00:00,DOT,整个时间点缺失
2026-01-09,00:00,ETC,整个时间点缺失
2026-01-09,00:00,ETH,整个时间点缺失
2026-01-09,00:00,FIL,整个时间点缺失
2026-01-09,00:00,HBAR,整个时间点缺失
2026-01-09,00:00,LDO,整个时间点缺失
2026-01-09,00:00,LINK,整个时间点缺失
2026-01-09,00:00,LTC,整个时间点缺失
2026-01-09,00:00,NEAR,整个时间点缺失
2026-01-09,00:00,SOL,整个时间点缺失
2026-01-09,00:00,STX,整个时间点缺失
2026-01-09,00:00,SUI,整个时间点缺失
2026-01-09,00:00,TAO,整个时间点缺失
2026-01-09,00:00,TON,整个时间点缺失
2026-01-09,00:00,TRX,整个时间点缺失
2026-01-09,00:00,UNI,整个时间点缺失
2026-01-09,00:00,XLM,整个时间点缺失
2026-01-09,00:00,XRP,整个时间点缺失
2026-01-09,00:30,AAVE,整个时间点缺失
2026-01-09,00:30,APT,整个时间点缺失
2026-01-09,00:30,BCH,整个时间点缺失
2026-01-09,00:30,BNB,整个时间点缺失
2026-01-09,00:30,BTC,整个时间点缺失
2026-01-09,00:30,CFX,整个时间点缺失
2026-01-09,00:30,CRO,整个时间点缺失
2026-01-09,00:30,CRV,整个时间点缺失
2026-01-09,00:30,DOGE,整个时间点缺失
2026-01-09,00:30,DOT,整个时间点缺失
2026-01-09,00:30,ETC,整个时间点缺失
2026-01-09,00:30,ETH,整个时间点缺失
2026-01-09,00:30,FIL,整个时间点缺失
2026-01-09,00:30,HBAR,整个时间点缺失
2026-01-09,00:30,LDO,整个时间点缺失
2026-01-09,00:30,LINK,整个时间点缺失
2026-01-09,00:30,LTC,整个时间点缺失
2026-01-09,00:30,NEAR,整个时间点缺失
2026-01-09,00:30,SOL,整个时间点缺失
2026-01-09,00:30,STX,整个时间点缺失
2026-01-09,00:30,SUI,整个时间点缺失
2026-01-09,00:30,TAO,整个时间点缺失
2026-01-09,00:30,TON,整个时间点缺失
2026-01-09,00:30,TRX,整个时间点缺失
2026-01-09,00:30,UNI,整个时间点缺失
2026-01-09,00:30,XLM,整个时间点缺失
2026-01-09,00:30,XRP,整个时间点缺失
2026-01-09,01:00,AAVE,整个时间点缺失
2026-01-09,01:00,APT,整个时间点缺失
2026-01-09,01:00,BCH,整个时间点缺失
2026-01-09,01:00,BNB,整个时间点缺失
2026-01-09,01:00,BTC,整个时间点缺失
2026-01-09,01:00,CFX,整个时间点缺失
2026-01-09,01:00,CRO,整个时间点缺失
2026-01-09,01:00,CRV,整个时间点缺失
2026-01-09,01:00,DOGE,整个时间点缺失
2026-01-09,01:00,DOT,整个时间点缺失
2026-01-09,01:00,ETC,整个时间点缺失
2026-01-09,01:00,ETH,整个时间点缺失
2026-01-09,01:00,FIL,整个时间点缺失
2026-01-09,01:00,HBAR,整个时间点缺失
2026-01-09,01:00,LDO,整个时间点缺失
2026-01-09,01:00,LINK,整个时间点缺失
2026-01-09,01:00,LTC,整个时间点缺失
2026-01-09,01:00,NEAR,整个时间点缺失
